Uniprot	Description	Names
Q8NF50	DOCK8_HUMAN	DOCK8
Q99704	DOK1_HUMAN	DOK1
O60496	DOK2_HUMAN	DOK2
Q7L591	DOK3_HUMAN	DOK3
P30046	DOPD_HUMAN	DDT
Q9UKG1	DP13A_HUMAN	APPL1
Q8NEU8	DP13B_HUMAN	APPL2
Q9P2X0	DPM3_HUMAN	DPM3
Q9UHL4	DPP2_HUMAN	DPP7
Q9NY33	DPP3_HUMAN	DPP3
Q86TI2	DPP9_HUMAN	DPP9
Q12882	DPYD_HUMAN	DPYD
Q16555	DPYL2_HUMAN	DPYSL2
P0CG22	DR4L1_HUMAN	DHRS4L1
P01903	DRA_HUMAN	HLA-DRA
Q16643	DREB_HUMAN	DBN1
Q6IAN0	DRS7B_HUMAN	DHRS7B
Q08554	DSC1_HUMAN	DSC1
Q14574	DSC3_HUMAN	DSC3
Q02413	DSG1_HUMAN	DSG1
P32926	DSG3_HUMAN	DSG3
Q8TEA8	DTD1_HUMAN	DTD1
Q8TDB6	DTX3L_HUMAN	DTX3L
Q8WTR2	DUS19_HUMAN	DUSP19
P51452	DUS3_HUMAN	DUSP3
Q8TE73	DYH5_HUMAN	DNAH5
Q96JB1	DYH8_HUMAN	DNAH8
Q14204	DYHC1_HUMAN	DYNC1H1
Q8NCM8	DYHC2_HUMAN	DYNC2H1
P63167	DYL1_HUMAN	DYNLL1
Q96FJ2	DYL2_HUMAN	DYNLL2
P51808	DYLT3_HUMAN	DYNLT3
Q05193	DYN1_HUMAN	DNM1
P50570	DYN2_HUMAN	DNM2
Q9UQ16	DYN3_HUMAN	DNM3
Q13627	DYR1A_HUMAN	DYRK1A
E7EVJ5	E7EVJ5_HUMAN	CYFIP2
Q15125	EBP_HUMAN	EBP
O95905	ECD_HUMAN	ECD
P42892	ECE1_HUMAN	ECE1
Q13011	ECH1_HUMAN	ECH1
P40939	ECHA_HUMAN	HADHA
P55084	ECHB_HUMAN	HADHB
P30084	ECHM_HUMAN	ECHS1
P42126	ECI1_HUMAN	ECI1
Q16610	ECM1_HUMAN	ECM1
Q5VYK3	ECM29_HUMAN	ECM29
Q15075	EEA1_HUMAN	EEA1
P68104	EF1A1_HUMAN	EEF1A1
Q5VTE0	EF1A3_HUMAN	EEF1A1P5
P24534	EF1B_HUMAN	EEF1B2
P29692	EF1D_HUMAN	EEF1D
P26641	EF1G_HUMAN	EEF1G
P13639	EF2_HUMAN	EEF2
Q96C19	EFHD2_HUMAN	EFHD2
P98172	EFNB1_HUMAN	EFNB1
Q14156	EFR3A_HUMAN	EFR3A
P49411	EFTU_HUMAN	TUFM
Q8N3D4	EH1L1_HUMAN	EHBP1L1
Q9H4M9	EHD1_HUMAN	EHD1
Q9NZN3	EHD3_HUMAN	EHD3
Q9H223	EHD4_HUMAN	EHD4
Q14232	EI2BA_HUMAN	EIF2B1
P55884	EIF3B_HUMAN	EIF3B
Q99613	EIF3C_HUMAN	EIF3C
P60228	EIF3E_HUMAN	EIF3E
O00303	EIF3F_HUMAN	EIF3F
O75821	EIF3G_HUMAN	EIF3G
O15372	EIF3H_HUMAN	EIF3H
Q13347	EIF3I_HUMAN	EIF3I
Q9UBQ5	EIF3K_HUMAN	EIF3K
Q9Y262	EIF3L_HUMAN	EIF3L
Q7L2H7	EIF3M_HUMAN	EIF3M
Q8IZ81	ELMD2_HUMAN	ELMOD2
Q92556	ELMO1_HUMAN	ELMO1
P08246	ELNE_HUMAN	ELANE
Q15370	ELOB_HUMAN	TCEB2
Q15369	ELOC_HUMAN	TCEB1
Q00013	EM55_HUMAN	MPP1
O95834	EMAL2_HUMAN	EML2
Q32P44	EMAL3_HUMAN	EML3
Q8N766	EMC1_HUMAN	EMC1
Q9NPA0	EMC7_HUMAN	EMC7
P50402	EMD_HUMAN	EMD
Q9Y6C2	EMIL1_HUMAN	EMILIN1
O94919	ENDD1_HUMAN	ENDOD1
P06733	ENOA_HUMAN	ENO1
P13929	ENOB_HUMAN	ENO3
P09104	ENOG_HUMAN	ENO2
Q9UHY7	ENOPH_HUMAN	ENOPH1
P14625	ENPL_HUMAN	HSP90B1
Q58FF3	ENPLL_HUMAN	HSP90B2P
Q6UWV6	ENPP7_HUMAN	ENPP7
Q9UBC2	EP15R_HUMAN	EPS15L1
P16452	EPB42_HUMAN	EPB42
P58107	EPIPL_HUMAN	EPPK1
Q9Y6I3	EPN1_HUMAN	EPN1
Q14677	EPN4_HUMAN	CLINT1
P42566	EPS15_HUMAN	EPS15
Q9NZ08	ERAP1_HUMAN	ERAP1
P24390	ERD21_HUMAN	KDELR1
P62495	ERF1_HUMAN	ETF1
P15170	ERF3A_HUMAN	GSPT1
O75477	ERLN1_HUMAN	ERLIN1
Q7Z2K6	ERMP1_HUMAN	ERMP1
P30040	ERP29_HUMAN	ERP29
Q9BS26	ERP44_HUMAN	ERP44
P11474	ERR1_HUMAN	ESRRA
P30042	ES1_HUMAN	C21orf33
Q5FWF5	ESCO1_HUMAN	ESCO1
P10768	ESTD_HUMAN	ESD
Q9BSJ8	ESYT1_HUMAN	ESYT1
A0FGR8	ESYT2_HUMAN	ESYT2
P13804	ETFA_HUMAN	ETFA
P38117	ETFB_HUMAN	ETFB
O95571	ETHE1_HUMAN	ETHE1
Q92817	EVPL_HUMAN	EVPL
Q2M3D2	EX3L2_HUMAN	EXOC3L2
Q9Y2D4	EXC6B_HUMAN	EXOC6B
Q9NV70	EXOC1_HUMAN	EXOC1
Q96KP1	EXOC2_HUMAN	EXOC2
O60645	EXOC3_HUMAN	EXOC3
Q96A65	EXOC4_HUMAN	EXOC4
O00471	EXOC5_HUMAN	EXOC5
Q9UPT5	EXOC7_HUMAN	EXOC7
P15311	EZRI_HUMAN	EZR
P50502	F10A1_HUMAN	ST13
Q96C01	F136A_HUMAN	FAM136A
P00488	F13A_HUMAN	F13A1
P05160	F13B_HUMAN	F13B
Q96A26	F162A_HUMAN	FAM162A
Q5W0V3	F16B1_HUMAN	FAM160B1
Q8N128	F177A_HUMAN	FAM177A1
Q5W0A0	F194B_HUMAN	ERICH6B
P23610	F8I2_HUMAN	F8A1
P00742	FA10_HUMAN	F10
P03951	FA11_HUMAN	F11
P00748	FA12_HUMAN	F12
Q9Y4E1	FA21C_HUMAN	FAM21C
Q9NUQ9	FA49B_HUMAN	FAM49B
P12259	FA5_HUMAN	F5
Q14320	FA50A_HUMAN	FAM50A
Q8N5J2	FA63A_HUMAN	FAM63A
P00451	FA8_HUMAN	F8
P16930	FAAA_HUMAN	FAH
P15090	FABP4_HUMAN	FABP4
Q01469	FABP5_HUMAN	FABP5
O75844	FACE1_HUMAN	ZMPSTE24
Q96CS3	FAF2_HUMAN	FAF2
Q6P2I3	FAH2B_HUMAN	FAHD2B
Q05397	FAK1_HUMAN	PTK2
Q9Y4F1	FARP1_HUMAN	FARP1
P49327	FAS_HUMAN	FASN
P23142	FBLN1_HUMAN	FBLN1
P98095	FBLN2_HUMAN	FBLN2
Q12805	FBLN3_HUMAN	EFEMP1
Q9UBX5	FBLN5_HUMAN	FBLN5
Q6ZVX7	FBX50_HUMAN	NCCRP1
P30273	FCERG_HUMAN	FCER1G
Q13630	FCL_HUMAN	TSTA3
Q15485	FCN2_HUMAN	FCN2
O75636	FCN3_HUMAN	FCN3
P16591	FER_HUMAN	FER
P07332	FES_HUMAN	FES
P02765	FETUA_HUMAN	AHSG
Q9UGM5	FETUB_HUMAN	FETUB
Q5JSP0	FGD3_HUMAN	FGD3
Q9BYJ0	FGFP2_HUMAN	FGFBP2
Q9NVK5	FGOP2_HUMAN	FGFR1OP2
P09769	FGR_HUMAN	FGR
Q13642	FHL1_HUMAN	FHL1
Q9Y613	FHOD1_HUMAN	FHOD1
Q03591	FHR1_HUMAN	CFHR1
P36980	FHR2_HUMAN	CFHR2
Q9BXR6	FHR5_HUMAN	CFHR5
P02671	FIBA_HUMAN	FGA
P02675	FIBB_HUMAN	FGB
P02679	FIBG_HUMAN	FGG
O43427	FIBP_HUMAN	FIBP
P20930	FILA_HUMAN	FLG
Q5D862	FILA2_HUMAN	FLG2
P02751	FINC_HUMAN	FN1
Q9Y3D6	FIS1_HUMAN	FIS1
P62942	FKB1A_HUMAN	FKBP1A
P26885	FKBP2_HUMAN	FKBP2
Q9HAU6	FKSG2_HUMAN	TPT1P8
Q13045	FLII_HUMAN	FLII
P21333	FLNA_HUMAN	FLNA
O75369	FLNB_HUMAN	FLNB
Q14315	FLNC_HUMAN	FLNC
O75955	FLOT1_HUMAN	FLOT1
Q14254	FLOT2_HUMAN	FLOT2
O43155	FLRT2_HUMAN	FLRT2
Q68DA7	FMN1_HUMAN	FMN1
O95466	FMNL_HUMAN	FMNL1
Q9H479	FN3K_HUMAN	FN3K
Q9P278	FNIP2_HUMAN	FNIP2
P49356	FNTB_HUMAN	FNTB
P14324	FPPS_HUMAN	FDPS
Q16595	FRDA_HUMAN	FXN
P02794	FRIH_HUMAN	FTH1
P02792	FRIL_HUMAN	FTL
Q9Y2L6	FRM4B_HUMAN	FRMD4B
P07954	FUMH_HUMAN	FH
O15117	FYB_HUMAN	FYB
P06241	FYN_HUMAN	FYN
P04406	G3P_HUMAN	GAPDH
O95866	G6B_HUMAN	G6B
Q9BUM1	G6PC3_HUMAN	G6PC3
P11413	G6PD_HUMAN	G6PD
P06744	G6PI_HUMAN	GPI
G8JLA2	G8JLA2_HUMAN	PDE6H
P51570	GALK1_HUMAN	GALK1
Q14697	GANAB_HUMAN	GANAB
Q9H4G4	GAPR1_HUMAN	GLIPR2
Q9H706	GAREM_HUMAN	GAREM1
P62873	GBB1_HUMAN	GNB1
P62879	GBB2_HUMAN	GNB2
Q9HAV0	GBB4_HUMAN	GNB4
O14775	GBB5_HUMAN	GNB5
P50151	GBG10_HUMAN	GNG10
P61952	GBG11_HUMAN	GNG11
Q9UBI6	GBG12_HUMAN	GNG12
P63218	GBG5_HUMAN	GNG5
O60262	GBG7_HUMAN	GNG7
P63244	GBLP_HUMAN	GNB2L1
P60520	GBRL2_HUMAN	GABARAPL2
Q9BSJ2	GCP2_HUMAN	TUBGCP2
Q02108	GCYA3_HUMAN	GUCY1A3
Q02153	GCYB1_HUMAN	GUCY1B3
P35573	GDE_HUMAN	AGL
P31150	GDIA_HUMAN	GDI1
P50395	GDIB_HUMAN	GDI2
P52565	GDIR1_HUMAN	ARHGDIA
P52566	GDIR2_HUMAN	ARHGDIB
P07093	GDN_HUMAN	SERPINE2
P52306	GDS1_HUMAN	RAP1GDS1
P06396	GELS_HUMAN	GSN
Q9BVM4	GGACT_HUMAN	GGACT
Q92820	GGH_HUMAN	GGH
Q9H7M9	GI24_HUMAN	C10orf54
Q8TF64	GIPC3_HUMAN	GIPC3
Q9Y2X7	GIT1_HUMAN	GIT1
Q04446	GLGB_HUMAN	GBE1
Q16775	GLO2_HUMAN	HAGH
Q9HC38	GLOD4_HUMAN	GLOD4
P32189	GLPK_HUMAN	GK
P35754	GLRX1_HUMAN	GLRX
O76003	GLRX3_HUMAN	GLRX3
Q86SX6	GLRX5_HUMAN	GLRX5
O94925	GLSK_HUMAN	GLS
P14314	GLU2B_HUMAN	PRKCSH
P34896	GLYC_HUMAN	SHMT1
P34897	GLYM_HUMAN	SHMT2
P60983	GMFB_HUMAN	GMFB
O60234	GMFG_HUMAN	GMFG
Q96IJ6	GMPPA_HUMAN	GMPPA
Q9Y5P6	GMPPB_HUMAN	GMPPB
P36959	GMPR1_HUMAN	GMPR
Q14344	GNA13_HUMAN	GNA13
O95837	GNA14_HUMAN	GNA14
P63096	GNAI1_HUMAN	GNAI1
P04899	GNAI2_HUMAN	GNAI2
P08754	GNAI3_HUMAN	GNAI3
P50148	GNAQ_HUMAN	GNAQ
P63092	GNAS2_HUMAN	GNAS
P19086	GNAZ_HUMAN	GNAZ
P15586	GNS_HUMAN	GNS
Q8NFS9	GNT2C_HUMAN	GCNT2
Q9Y3E0	GOT1B_HUMAN	GOLT1B
Q8IWK6	GP125_HUMAN	GPR125
P43304	GPDM_HUMAN	GPD2
Q9Y4H4	GPSM3_HUMAN	GPSM3
Q9HCN6	GPVI_HUMAN	GP6
P07203	GPX1_HUMAN	GPX1
P22352	GPX3_HUMAN	GPX3
P36969	GPX4_HUMAN	GPX4
P28676	GRAN_HUMAN	GCA
Q4V328	GRAP1_HUMAN	GRIPAP1
O75791	GRAP2_HUMAN	GRAP2
P62993	GRB2_HUMAN	GRB2
Q9UBQ7	GRHPR_HUMAN	GRHPR
P43250	GRK6_HUMAN	GRK6
P28799	GRN_HUMAN	GRN
Q7LDG7	GRP2_HUMAN	RASGRP2
P38646	GRP75_HUMAN	HSPA9
P11021	GRP78_HUMAN	HSPA5
Q5JQS6	GSAML_HUMAN	GCSAML
P57764	GSDMD_HUMAN	GSDMD
P48507	GSH0_HUMAN	GCLM
P48637	GSHB_HUMAN	GSS
P00390	GSHR_HUMAN	GSR
P49841	GSK3B_HUMAN	GSK3B
Q9Y2Q3	GSTK1_HUMAN	GSTK1
P09488	GSTM1_HUMAN	GSTM1
P28161	GSTM2_HUMAN	GSTM2
P21266	GSTM3_HUMAN	GSTM3
P78417	GSTO1_HUMAN	GSTO1
P09211	GSTP1_HUMAN	GSTP1
Q9BX10	GTPB2_HUMAN	GTPBP2
P11166	GTR1_HUMAN	SLC2A1
P11169	GTR3_HUMAN	SLC2A3
Q96GX5	GWL_HUMAN	MASTL
P13807	GYS1_HUMAN	GYS1
H0Y5V1	H0Y5V1_HUMAN	CDC42BPA
H0Y7C1	H0Y7C1_HUMAN	ATP1A2
P22492	H1T_HUMAN	HIST1H1T
P04908	H2A1B_HUMAN	HIST1H2AB
Q93077	H2A1C_HUMAN	HIST1H2AC
Q96KK5	H2A1H_HUMAN	HIST1H2AH
Q99878	H2A1J_HUMAN	HIST1H2AJ
P58876	H2B1D_HUMAN	HIST1H2BD
Q99880	H2B1L_HUMAN	HIST1H2BL
P68431	H31_HUMAN	HIST1H3A
Q71DI3	H32_HUMAN	HIST2H3A
P84243	H33_HUMAN	H3F3A
P62805	H4_HUMAN	HIST1H4A
H7C1X1	H7C1X1_HUMAN	H7C1X1
Q58FF8	H90B2_HUMAN	HSP90AB2P
Q58FF6	H90B4_HUMAN	HSP90AB4P
Q14520	HABP2_HUMAN	HABP2
Q9P035	HACD3_HUMAN	PTPLAD1
P69905	HBA_HUMAN	HBA1
P68871	HBB_HUMAN	HBB
P02042	HBD_HUMAN	HBD
P69891	HBG1_HUMAN	HBG1
P69892	HBG2_HUMAN	HBG2
Q99714	HCD2_HUMAN	HSD17B10
Q16836	HCDH_HUMAN	HADH
P14317	HCLS1_HUMAN	HCLS1
Q9UBN7	HDAC6_HUMAN	HDAC6
P51858	HDGF_HUMAN	HDGF
Q9H0R4	HDHD2_HUMAN	HDHD2
Q9BSH5	HDHD3_HUMAN	HDHD3
Q9NRV9	HEBP1_HUMAN	HEBP1
Q5T447	HECD3_HUMAN	HECTD3
Q9ULI3	HEG1_HUMAN	HEG1
P13716	HEM2_HUMAN	ALAD
P22830	HEMH_HUMAN	FECH
P02790	HEMO_HUMAN	HPX
P05546	HEP2_HUMAN	SERPIND1
P07686	HEXB_HUMAN	HEXB
Q04756	HGFA_HUMAN	HGFAC
O14964	HGS_HUMAN	HGS
Q6NVY1	HIBCH_HUMAN	HIBCH
Q9Y241	HIG1A_HUMAN	HIGD1A
P49773	HINT1_HUMAN	HINT1
Q9BX68	HINT2_HUMAN	HINT2
P13747	HLAE_HUMAN	HLA-E
P30511	HLAF_HUMAN	HLA-F
P17693	HLAG_HUMAN	HLA-G
P01893	HLAH_HUMAN	HLA-H
Q8TCT9	HM13_HUMAN	HM13
P35914	HMGCL_HUMAN	HMGCL
Q92619	HMHA1_HUMAN	HMHA1
P31943	HNRH1_HUMAN	HNRNPH1
P52597	HNRPF_HUMAN	HNRNPF
P61978	HNRPK_HUMAN	HNRNPK
O60506	HNRPQ_HUMAN	SYNCRIP
Q86YZ3	HORN_HUMAN	HRNR
P37235	HPCL1_HUMAN	HPCAL1
P00492	HPRT_HUMAN	HPRT1
Q9Y251	HPSE_HUMAN	HPSE
P00738	HPT_HUMAN	HP
P00739	HPTR_HUMAN	HPR
P04196	HRG_HUMAN	HRG
Q92598	HS105_HUMAN	HSPH1
P0DMV9	HS71B_HUMAN	HSPA1B
P34931	HS71L_HUMAN	HSPA1L
Q58FG0	HS905_HUMAN	HSP90AA5P
P07900	HS90A_HUMAN	HSP90AA1
P08238	HS90B_HUMAN	HSP90AB1
P08107	HSP71_HUMAN	HSPA1A
P54652	HSP72_HUMAN	HSPA2
P34932	HSP74_HUMAN	HSPA4
P17066	HSP76_HUMAN	HSPA6
P11142	HSP7C_HUMAN	HSPA8
P04792	HSPB1_HUMAN	HSPB1
P42357	HUTH_HUMAN	HAL
P01742	HV101_HUMAN	IgHV1
P01814	HV201_HUMAN	IgHV2
P01762	HV301_HUMAN	IgHV3
P19367	HXK1_HUMAN	HK1
Q4G0P3	HYDIN_HUMAN	HYDIN
Q9Y4L1	HYOU1_HUMAN	HYOU1
P22692	IBP4_HUMAN	IGFBP4
P24593	IBP5_HUMAN	IGFBP5
P05155	IC1_HUMAN	SERPING1
Q05084	ICA69_HUMAN	ICA1
P50213	IDH3A_HUMAN	IDH3A
O43837	IDH3B_HUMAN	IDH3B
P51553	IDH3G_HUMAN	IDH3G
O75874	IDHC_HUMAN	IDH1
P48735	IDHP_HUMAN	IDH2
Q16666	IF16_HUMAN	IFI16
P05198	IF2A_HUMAN	EIF2S1
P41091	IF2G_HUMAN	EIF2S3
Q2VIR3	IF2GL_HUMAN	EIF2S3L
P60842	IF4A1_HUMAN	EIF4A1
Q14240	IF4A2_HUMAN	EIF4A2
P06730	IF4E_HUMAN	EIF4E
Q04637	IF4G1_HUMAN	EIF4G1
P78344	IF4G2_HUMAN	EIF4G2
Q15056	IF4H_HUMAN	EIF4H
P63241	IF5A1_HUMAN	EIF5A
P56537	IF6_HUMAN	EIF6
P78318	IGBP1_HUMAN	IGBP1
P01344	IGF2_HUMAN	IGF2
P01876	IGHA1_HUMAN	IGHA1
P01877	IGHA2_HUMAN	IGHA2
P01880	IGHD_HUMAN	IGHD
P01857	IGHG1_HUMAN	IGHG1
P01859	IGHG2_HUMAN	IGHG2
P01860	IGHG3_HUMAN	IGHG3
P01861	IGHG4_HUMAN	IGHG4
P01871	IGHM_HUMAN	IGHM
P01591	IGJ_HUMAN	IGJ
P01591	IGJ_HUMAN	JCHAIN
P01834	IGKC_HUMAN	IGKC
B9A064	IGLL5_HUMAN	IGLL5
O14920	IKKB_HUMAN	IKBKB
P30740	ILEU_HUMAN	SERPINB1
Q13418	ILK_HUMAN	ILK
A1L0T0	ILVBL_HUMAN	ILVBL
O00629	IMA3_HUMAN	KPNA4
O00505	IMA4_HUMAN	KPNA3
P52294	IMA5_HUMAN	KPNA1
Q14974	IMB1_HUMAN	KPNB1
Q16891	IMMT_HUMAN	IMMT
P29218	IMPA1_HUMAN	IMPA1
Q27J81	INF2_HUMAN	INF2
P55103	INHBC_HUMAN	INHBC
Q9NPH2	INO1_HUMAN	ISYNA1
O15327	INP4B_HUMAN	INPP4B
O00410	IPO5_HUMAN	IPO5
O95373	IPO7_HUMAN	IPO7
O15397	IPO8_HUMAN	IPO8
P05154	IPSP_HUMAN	SERPINA5
Q9H2U2	IPYR2_HUMAN	PPA2
P46940	IQGA1_HUMAN	IQGAP1
Q13576	IQGA2_HUMAN	IQGAP2
Q9Y5U9	IR3IP_HUMAN	IER3IP1
Q9NWZ3	IRAK4_HUMAN	IRAK4
Q96CN7	ISOC1_HUMAN	ISOC1
P53990	IST1_HUMAN	IST1
P18084	ITB5_HUMAN	ITGB5
Q9H0X4	ITFG3_HUMAN	ITFG3
P19827	ITIH1_HUMAN	ITIH1
P19823	ITIH2_HUMAN	ITIH2
Q06033	ITIH3_HUMAN	ITIH3
Q14624	ITIH4_HUMAN	ITIH4
Q8WWA0	ITLN1_HUMAN	ITLN1
Q8WWU7	ITLN2_HUMAN	ITLN2
Q14643	ITPR1_HUMAN	ITPR1
Q14573	ITPR3_HUMAN	ITPR3
A6NJ16	IV4F8_HUMAN	IGHV4OR15-8
P26440	IVD_HUMAN	IVD
J3QKN5	J3QKN5_HUMAN	MBP
O60674	JAK2_HUMAN	JAK2
Q9BX67	JAM3_HUMAN	JAM3
O60268	K0513_HUMAN	KIAA0513
Q6ZU35	K1211_HUMAN	KIAA1211
A6NCN2	K121P_HUMAN	KRT87P
P13645	K1C10_HUMAN	KRT10
P13646	K1C13_HUMAN	KRT13
P02533	K1C14_HUMAN	KRT14
P19012	K1C15_HUMAN	KRT15
P08779	K1C16_HUMAN	KRT16
Q04695	K1C17_HUMAN	KRT17
P08727	K1C19_HUMAN	KRT19
P35900	K1C20_HUMAN	KRT20
Q9C075	K1C23_HUMAN	KRT23
Q7Z3Y8	K1C27_HUMAN	KRT27
P35527	K1C9_HUMAN	KRT9
Q15323	K1H1_HUMAN	KRT31
Q14532	K1H2_HUMAN	KRT32
Q9H714	K226L_HUMAN	KIAA0226L
P35908	K22E_HUMAN	KRT2
Q01546	K22O_HUMAN	KRT76
P04264	K2C1_HUMAN	KRT1
Q7Z794	K2C1B_HUMAN	KRT77
P12035	K2C3_HUMAN	KRT3
P19013	K2C4_HUMAN	KRT4
P13647	K2C5_HUMAN	KRT5
P02538	K2C6A_HUMAN	KRT6A
P04259	K2C6B_HUMAN	KRT6B
P48668	K2C6C_HUMAN	KRT6C
P08729	K2C7_HUMAN	KRT7
Q3SY84	K2C71_HUMAN	KRT71
Q14CN4	K2C72_HUMAN	KRT72
Q86Y46	K2C73_HUMAN	KRT73
Q7RTS7	K2C74_HUMAN	KRT74
O95678	K2C75_HUMAN	KRT75
Q8N1N4	K2C78_HUMAN	KRT78
Q5XKE5	K2C79_HUMAN	KRT79
P05787	K2C8_HUMAN	KRT8
Q6KB66	K2C80_HUMAN	KRT80
P08237	K6PF_HUMAN	PFKM
P17858	K6PL_HUMAN	PFKL
Q01813	K6PP_HUMAN	PFKP
P00568	KAD1_HUMAN	AK1
P54819	KAD2_HUMAN	AK2
Q9UIJ7	KAD3_HUMAN	AK3
P29622	KAIN_HUMAN	SERPINA4
O60229	KALRN_HUMAN	KALRN
P10644	KAP0_HUMAN	PRKAR1A
P13861	KAP2_HUMAN	PRKAR2A
P31323	KAP3_HUMAN	PRKAR2B
P17612	KAPCA_HUMAN	PRKACA
P22694	KAPCB_HUMAN	PRKACB
Q8IYT4	KATL2_HUMAN	KATNAL2
Q14012	KCC1A_HUMAN	CAMK1
Q13557	KCC2D_HUMAN	CAMK2D
Q96CX2	KCD12_HUMAN	KCTD12
Q99712	KCJ15_HUMAN	KCNJ15
P30085	KCY_HUMAN	CMPK1
P41229	KDM5C_HUMAN	KDM5C
Q13976	KGP1_HUMAN	PRKG1
Q13237	KGP2_HUMAN	PRKG2
Q9NQT8	KI13B_HUMAN	KIF13B
Q96Q89	KI20B_HUMAN	KIF20B
Q86VH2	KIF27_HUMAN	KIF27
O00139	KIF2A_HUMAN	KIF2A
P33176	KINH_HUMAN	KIF5B
Q8TBQ9	KISHA_HUMAN	TMEM167A
Q07866	KLC1_HUMAN	KLC1
P49862	KLK7_HUMAN	KLK7
P03952	KLKB1_HUMAN	KLKB1
Q03164	KMT2A_HUMAN	KMT2A
P01042	KNG1_HUMAN	KNG1
P17252	KPCA_HUMAN	PRKCA
P05771	KPCB_HUMAN	PRKCB
Q05655	KPCD_HUMAN	PRKCD
Q04759	KPCT_HUMAN	PRKCQ
Q14558	KPRA_HUMAN	PRPSAP1
O60256	KPRB_HUMAN	PRPSAP2
Q5T749	KPRP_HUMAN	KPRP
P14618	KPYM_HUMAN	PKM
Q8IUC0	KR131_HUMAN	KRTAP13-1
Q52LG2	KR132_HUMAN	KRTAP13-2
Q3LI77	KR134_HUMAN	KRTAP13-4
Q9BYT5	KRA22_HUMAN	KRTAP2-2
Q9BYR8	KRA31_HUMAN	KRTAP3-1
Q9BYR7	KRA32_HUMAN	KRTAP3-2
Q9BYR6	KRA33_HUMAN	KRTAP3-3
Q9BYQ8	KRA49_HUMAN	KRTAP4-9
Q8IUC3	KRA71_HUMAN	KRTAP7-1
Q9BYQ2	KRA94_HUMAN	KRTAP9-4
O76011	KRT34_HUMAN	KRT34
O76013	KRT36_HUMAN	KRT36
O76014	KRT37_HUMAN	KRT37
Q14533	KRT81_HUMAN	KRT81
Q9NSB4	KRT82_HUMAN	KRT82
P78385	KRT83_HUMAN	KRT83
Q9NSB2	KRT84_HUMAN	KRT84
P78386	KRT85_HUMAN	KRT85
O43790	KRT86_HUMAN	KRT86
P43405	KSYK_HUMAN	SYK
O76009	KT33A_HUMAN	KRT33A
Q14525	KT33B_HUMAN	KRT33B
Q9HA64	KT3K_HUMAN	FN3KRP
Q8N6L1	KTAP2_HUMAN	KRTCAP2
P60985	KTDAP_HUMAN	KRTDAP
P01593	KV101_HUMAN	IgKV1
P01615	KV202_HUMAN	IgKV2
P01620	KV302_HUMAN	IgKV3
P01625	KV402_HUMAN	IgKV4
P06315	KV501_HUMAN	IgKV
P0CG04	LAC1_HUMAN	IGLC1
P0CG05	LAC2_HUMAN	IGLC2
P0CG06	LAC3_HUMAN	IGLC3
P0CF74	LAC6_HUMAN	IGLC6
A0M8Q6	LAC7_HUMAN	IGLC7
O43813	LANC1_HUMAN	LANCL1
Q9NS86	LANC2_HUMAN	LANCL2
Q96RT1	LAP2_HUMAN	ERBB2IP
Q14847	LASP1_HUMAN	LASP1
O43561	LAT_HUMAN	LAT
Q01650	LAT1_HUMAN	SLC7A5
P18428	LBP_HUMAN	LBP
P04180	LCAT_HUMAN	LCAT
P31025	LCN1_HUMAN	LCN1
Q13094	LCP2_HUMAN	LCP2
P00338	LDHA_HUMAN	LDHA
P07195	LDHB_HUMAN	LDHB
P09382	LEG1_HUMAN	LGALS1
P47929	LEG7_HUMAN	LGALS7
Q3ZCW2	LEGL_HUMAN	LGALSL
O95202	LETM1_HUMAN	LETM1
Q969X1	LFG3_HUMAN	TMBIM1
Q08380	LG3BP_HUMAN	LGALS3BP
Q04760	LGUL_HUMAN	GLO1
Q6ZUX7	LHPL2_HUMAN	LHFPL2
Q9UHB6	LIMA1_HUMAN	LIMA1
P48059	LIMS1_HUMAN	LIMS1
Q7Z4I7	LIMS2_HUMAN	LIMS2
P06858	LIPL_HUMAN	LPL
P43034	LIS1_HUMAN	PAFAH1B1
P09960	LKHA4_HUMAN	LTA4H
P49257	LMAN1_HUMAN	LMAN1
Q12907	LMAN2_HUMAN	LMAN2
P02545	LMNA_HUMAN	LMNA
P36776	LONM_HUMAN	LONP1
P23490	LORI_HUMAN	LOR
P18054	LOX12_HUMAN	ALOX12
Q93052	LPP_HUMAN	LPP
P42704	LPPRC_HUMAN	LRPPRC
P50851	LRBA_HUMAN	LRBA
Q8TF66	LRC15_HUMAN	LRRC15
Q8N1G4	LRC47_HUMAN	LRRC47
A6NM62	LRC53_HUMAN	LRRC53
Q96AG4	LRC59_HUMAN	LRRC59
Q12912	LRMP_HUMAN	LRMP
Q32MZ4	LRRF1_HUMAN	LRRFIP1
Q9Y608	LRRF2_HUMAN	LRRFIP2
P62312	LSM6_HUMAN	LSM6
Q9UK45	LSM7_HUMAN	LSM7
O00453	LST1_HUMAN	LST1
Q14766	LTBP1_HUMAN	LTBP1
Q16873	LTC4S_HUMAN	LTC4S
Q6IAA8	LTOR1_HUMAN	LAMTOR1
Q9Y2Q5	LTOR2_HUMAN	LAMTOR2
Q9UHA4	LTOR3_HUMAN	LAMTOR3
Q0VGL1	LTOR4_HUMAN	LAMTOR4
O43504	LTOR5_HUMAN	LAMTOR5
P51884	LUM_HUMAN	LUM
